,User ID,Gender,Age,EstimatedSalary,Purchased
0,15624510,Male,19.0,19000.0,0.0
1,15810944,Male,35.0,20000.0,0.0
2,15668575,Female,26.0,43000.0,0.0
3,15603246,Female,27.0,57000.0,0.0
4,15804002,Male,19.0,76000.0,0.0
5,15728773,Male,27.0,58000.0,0.0
6,15598044,Female,27.0,84000.0,0.0
7,15694829,Female,32.0,150000.0,1.0
8,15600575,,25.0,33000.0,0.0
9,15727311,,35.0,65000.0,0.0
10,15570769,,26.0,80000.0,0.0
11,15606274,,26.0,52000.0,0.0
12,15746139,,20.0,,0.0
13,15704987,,32.0,,0.0
14,15628972,,18.0,,
15,15697686,,29.0,,
16,15733883,,47.0,,
17,15617482,,45.0,,
18,15704583,,46.0,,
19,15621083,,48.0,,
20,15649487,Male,45.0,,
21,15736760,Female,47.0,,
22,15714658,Male,48.0,,
23,15599081,Female,45.0,,
24,15705113,Male,46.0,,1.0
25,15631159,Male,47.0,20000.0,1.0
26,15792818,Male,49.0,28000.0,1.0
27,15633531,Female,47.0,30000.0,1.0
28,15744529,Male,29.0,43000.0,0.0
29,15669656,Male,31.0,18000.0,0.0
30,15581198,Male,31.0,74000.0,0.0
31,15729054,Female,27.0,137000.0,1.0
32,15573452,Female,,16000.0,0.0
33,15776733,Female,,44000.0,0.0
34,15724858,Male,,90000.0,0.0
35,15713144,Male,,27000.0,0.0
36,15690188,,,,0.0
37,15689425,,,49000.0,0.0
38,15671766,,,72000.0,0.0
39,15782806,,,31000.0,0.0
40,15764419,,,17000.0,0.0
41,15591915,,,51000.0,0.0
42,15772798,,,108000.0,0.0
43,15792008,,,15000.0,0.0
44,15715541,Female,28.0,84000.0,0.0
45,15639277,Male,23.0,20000.0,0.0
46,15798850,Male,25.0,79000.0,0.0
47,15776348,Female,27.0,54000.0,0.0
48,15727696,Male,30.0,135000.0,1.0
49,15793813,Female,31.0,89000.0,0.0
50,15694395,Female,24.0,32000.0,0.0
51,15764195,Female,18.0,44000.0,0.0
52,15744919,Female,29.0,83000.0,0.0
53,15671655,Female,35.0,23000.0,0.0
54,15654901,Female,27.0,58000.0,0.0
55,15649136,Female,24.0,55000.0,0.0
56,15775562,Female,23.0,48000.0,0.0
57,15807481,Male,28.0,79000.0,0.0
58,15642885,Male,22.0,18000.0,0.0
59,15789109,Female,32.0,117000.0,0.0
60,15814004,Male,27.0,20000.0,0.0
61,15673619,Male,25.0,87000.0,0.0
62,15595135,Female,23.0,66000.0,0.0
63,15583681,Male,32.0,120000.0,1.0
64,15605000,Female,59.0,83000.0,0.0
65,15718071,Male,24.0,58000.0,0.0
66,15679760,Male,24.0,19000.0,0.0
67,15654574,Female,23.0,82000.0,0.0
68,15577178,Female,22.0,63000.0,0.0
69,15595324,Female,31.0,68000.0,0.0
70,15756932,Male,25.0,80000.0,0.0
71,15726358,Female,24.0,27000.0,0.0
72,15595228,Female,20.0,23000.0,0.0
73,15782530,Female,33.0,113000.0,0.0
74,15592877,Male,32.0,18000.0,0.0
75,15651983,Male,34.0,112000.0,1.0
76,15746737,Male,18.0,52000.0,0.0
77,15774179,Female,22.0,27000.0,0.0
78,15667265,Female,28.0,87000.0,0.0
79,15655123,Female,26.0,17000.0,0.0
80,15595917,Male,30.0,80000.0,0.0
81,15668385,Male,39.0,42000.0,0.0
82,15709476,Male,20.0,49000.0,0.0
83,15711218,Male,35.0,88000.0,0.0
84,15798659,Female,30.0,62000.0,0.0
85,15663939,Female,31.0,118000.0,1.0
86,15694946,Male,24.0,55000.0,0.0
87,15631912,Female,28.0,85000.0,0.0
88,15768816,Male,26.0,81000.0,0.0
89,15682268,Male,35.0,,0.0
90,15684801,Male,22.0,,0.0
91,15636428,Female,30.0,,0.0
92,15809823,Male,26.0,,0.0
93,15699284,Female,29.0,,0.0
94,15786993,Female,29.0,,0.0
95,15709441,Female,35.0,,0.0
96,15710257,Female,35.0,,0.0
97,15582492,Male,28.0,,1.0
98,15575694,Male,35.0,73000.0,0.0
99,15756820,Female,28.0,37000.0,0.0
100,15766289,Male,27.0,88000.0,0.0
101,15593014,Male,28.0,59000.0,0.0
102,15584545,Female,32.0,86000.0,0.0
103,15675949,Female,33.0,149000.0,1.0
104,15672091,Female,19.0,21000.0,0.0
105,15801658,Male,21.0,72000.0,0.0
106,15706185,Female,26.0,35000.0,0.0
107,15789863,Male,27.0,89000.0,0.0
108,15720943,Male,26.0,86000.0,0.0
109,15697997,Female,38.0,80000.0,0.0
110,15665416,Female,39.0,71000.0,0.0
111,15660200,Female,37.0,71000.0,0.0
112,15619653,Male,38.0,61000.0,0.0
113,15773447,Male,37.0,55000.0,0.0
114,15739160,Male,42.0,80000.0,0.0
115,15689237,Male,40.0,57000.0,0.0
116,15679297,Male,35.0,75000.0,0.0
117,15591433,Male,36.0,52000.0,0.0
118,15642725,Male,40.0,59000.0,0.0
119,15701962,Male,41.0,59000.0,0.0
120,15811613,Female,36.0,75000.0,0.0
121,15741049,Male,37.0,72000.0,0.0
122,15724423,Female,40.0,,0.0
123,15574305,Male,35.0,,0.0
124,15678168,Female,41.0,,0.0
125,15697020,Female,39.0,,0.0
126,15610801,Male,42.0,,0.0
127,15745232,Male,26.0,,0.0
128,15722758,Male,30.0,,0.0
129,15792102,Female,26.0,,0.0
130,15675185,Male,31.0,58000.0,0.0
131,15801247,Male,33.0,31000.0,0.0
132,15725660,,30.0,87000.0,0.0
133,15638963,,21.0,68000.0,0.0
134,15800061,,28.0,55000.0,0.0
135,15578006,,23.0,63000.0,0.0
136,15668504,,20.0,82000.0,0.0
137,15687491,,,107000.0,1.0
138,15610403,,,59000.0,0.0
139,15741094,,,25000.0,0.0
140,15807909,,,85000.0,0.0
141,15666141,Female,,68000.0,0.0
142,15617134,Male,,59000.0,0.0
143,15783029,Male,,89000.0,0.0
144,15622833,Female,,25000.0,0.0
145,15746422,Female,,89000.0,0.0
146,15750839,Female,,96000.0,1.0
147,15749130,Female,,30000.0,0.0
148,15779862,Male,,61000.0,0.0
149,15767871,Male,,74000.0,0.0
150,15679651,Female,,15000.0,0.0
151,15576219,Male,,45000.0,0.0
152,15699247,Male,,76000.0,
153,15619087,Female,,50000.0,
154,15605327,Male,,47000.0,
155,15610140,Female,,15000.0,
156,15791174,Male,,59000.0,
157,15602373,Male,,75000.0,
158,15762605,Male,,30000.0,
159,15598840,Female,,135000.0,
160,15744279,Male,32.0,100000.0,
161,15670619,Male,25.0,90000.0,
162,15599533,Female,37.0,33000.0,
163,15757837,Male,35.0,38000.0,
